Depth (m)	Temperature (C)	Conductivity (mS/cm)	Salinity (PSU)
  16.0		  0.29		 27.90		 33.16
  16.1		  0.28		 27.90		 33.17
  16.2		  0.29		 27.90		 33.16
  16.3		  0.29		 27.91		 33.18
  16.4		  0.28		 27.91		 33.19
  16.5		  0.29		 27.91		 33.18
  16.6		  0.27		 27.91		 33.20
  16.7		  0.27		 27.90		 33.18
  16.8		  0.26		 27.90		 33.20
  16.9		  0.26		 27.90		 33.20
  17.1		  0.26		 27.90		 33.20
  17.2		  0.25		 27.90		 33.21
  17.3		  0.26		 27.94		 33.26
  17.4		  0.26		 27.94		 33.26
  17.5		  0.25		 27.93		 33.25
  17.6		  0.26		 27.94		 33.26
  17.7		  0.25		 27.94		 33.27
  17.8		  0.26		 27.94		 33.26
  17.9		  0.26		 27.94		 33.26
  18.1		  0.26		 27.94		 33.26
  18.2		  0.26		 27.96		 33.28
  18.3		  0.26		 27.96		 33.28
  18.4		  0.27		 27.96		 33.26
  18.5		  0.27		 27.96		 33.26
  18.6		  0.27		 27.96		 33.26
  18.7		  0.28		 27.96		 33.25
  18.8		  0.28		 27.96		 33.25
  18.9		  0.28		 27.96		 33.25
  19.0		  0.28		 27.96		 33.25
  19.2		  0.27		 27.96		 33.26
  19.3		  0.27		 27.96		 33.26
  19.4		  0.26		 27.96		 33.27
  19.5		  0.26		 27.96		 33.27
  19.6		  0.26		 27.96		 33.27
  19.7		  0.26		 27.94		 33.25
  19.8		  0.26		 27.96		 33.27
  19.9		  0.25		 27.96		 33.29
  20.0		  0.26		 27.94		 33.25
  20.1		  0.26		 27.94		 33.25
  20.3		  0.25		 27.96		 33.29
  20.4		  0.25		 27.96		 33.29
  20.5		  0.25		 27.96		 33.29
  20.6		  0.26		 27.96		 33.27
  20.7		  0.27		 27.96		 33.26
  20.8		  0.27		 27.96		 33.26
  20.9		  0.28		 27.96		 33.25
  21.0		  0.28		 27.96		 33.25
  21.1		  0.29		 27.96		 33.24
  21.3		  0.30		 27.96		 33.23
  21.4		  0.29		 27.96		 33.24
  21.5		  0.30		 27.96		 33.23
  21.6		  0.29		 27.96		 33.24
  21.7		  0.30		 27.94		 33.21
  21.8		  0.29		 27.96		 33.24
  21.9		  0.29		 27.96		 33.24
  22.0		  0.30		 27.96		 33.23
  22.1		  0.29		 27.96		 33.24
  22.2		  0.28		 27.96		 33.25
  22.4		  0.27		 27.94		 33.24
  22.5		  0.26		 27.94		 33.25
  22.6		  0.25		 27.94		 33.26
  22.7		  0.24		 27.94		 33.28
  22.8		  0.25		 27.94		 33.26
  22.9		  0.26		 27.94		 33.25
  23.0		  0.25		 27.94		 33.26
  23.1		  0.26		 27.94		 33.25
  23.2		  0.26		 27.94		 33.25
  23.3		  0.27		 27.94		 33.24
  23.5		  0.27		 27.96		 33.26
  23.6		  0.27		 27.94		 33.24
  23.7		  0.27		 27.94		 33.24
  23.8		  0.27		 27.94		 33.24
  23.9		  0.27		 27.94		 33.24
  24.0		  0.29		 27.94		 33.22
  24.1		  0.29		 27.94		 33.22
  24.2		  0.30		 27.94		 33.21
  24.3		  0.29		 27.96		 33.24
  24.5		  0.30		 27.96		 33.23
  24.6		  0.30		 27.96		 33.23
  24.7		  0.29		 27.96		 33.24
  24.8		  0.30		 27.96		 33.23
  24.9		  0.29		 27.96		 33.24
  25.0		  0.29		 27.96		 33.24
  25.1		  0.29		 27.96		 33.24
  25.2		  0.29		 27.96		 33.24
  25.3		  0.28		 27.94		 33.23
  25.4		  0.27		 27.94		 33.24
  25.6		  0.27		 27.94		 33.24
  25.7		  0.26		 27.94		 33.25
  25.8		  0.26		 27.94		 33.25
  25.9		  0.25		 27.93		 33.24
  26.0		  0.24		 27.93		 33.25
  26.1		  0.24		 27.93		 33.25
  26.2		  0.24		 27.93		 33.25
  26.3		  0.24		 27.91		 33.23
  26.4		  0.24		 27.91		 33.23
  26.5		  0.23		 27.93		 33.27
  26.7		  0.24		 27.93		 33.25
  26.8		  0.24		 27.93		 33.25
  26.9		  0.24		 27.93		 33.25
  27.0		  0.24		 27.93		 33.25
  27.1		  0.24		 27.93		 33.25
  27.2		  0.25		 27.93		 33.24
  27.3		  0.26		 27.94		 33.25
  27.4		  0.26		 27.94		 33.25
  27.5		  0.26		 27.94		 33.25
  27.6		  0.26		 27.94		 33.25
  27.8		  0.27		 27.94		 33.24
  27.9		  0.27		 27.94		 33.24
  28.0		  0.26		 27.94		 33.25
  28.1		  0.27		 27.94		 33.24
  28.2		  0.27		 27.94		 33.24
  28.3		  0.27		 27.94		 33.24
  28.4		  0.27		 27.94		 33.24
  28.5		  0.27		 27.94		 33.24
  28.6		  0.28		 27.94		 33.23
  28.8		  0.28		 27.96		 33.25
  28.9		  0.28		 27.96		 33.25
  29.0		  0.28		 27.96		 33.25
  29.1		  0.27		 27.96		 33.26
  29.2		  0.27		 27.96		 33.26
  29.3		  0.27		 27.96		 33.26
  29.4		  0.27		 27.96		 33.26
  29.5		  0.27		 27.96		 33.26
  29.6		  0.26		 27.96		 33.27
  29.7		  0.27		 27.96		 33.26
  29.9		  0.26		 27.96		 33.27
  30.0		  0.26		 27.96		 33.27
  30.1		  0.26		 27.96		 33.27
  30.2		  0.25		 27.96		 33.28
  30.3		  0.25		 27.96		 33.28
  30.4		  0.25		 27.96		 33.28
  30.5		  0.25		 27.94		 33.26
  30.6		  0.25		 27.94		 33.26
  30.7		  0.24		 27.94		 33.27
  30.8		  0.25		 27.94		 33.26
  31.0		  0.24		 27.94		 33.27
  31.1		  0.25		 27.96		 33.28
  31.2		  0.25		 27.96		 33.28
  31.3		  0.25		 27.96		 33.28
  31.4		  0.26		 27.96		 33.27
  31.5		  0.26		 27.96		 33.27
  31.6		  0.27		 27.96		 33.26
  31.7		  0.28		 27.96		 33.24
  31.8		  0.28		 27.96		 33.24
  31.9		  0.28		 27.96		 33.24
  32.1		  0.28		 27.96		 33.24
  32.2		  0.28		 27.96		 33.24
  32.3		  0.28		 27.96		 33.24
  32.4		  0.28		 27.96		 33.24
  32.5		  0.29		 27.96		 33.23
  32.6		  0.29		 27.96		 33.23
  32.7		  0.29		 27.94		 33.21
  32.8		  0.29		 27.94		 33.21
  32.9		  0.28		 27.94		 33.22
  33.1		  0.29		 27.94		 33.21
  33.2		  0.28		 27.94		 33.22
  33.3		  0.28		 27.96		 33.24
  33.4		  0.29		 27.96		 33.23
  33.5		  0.29		 27.96		 33.23
  33.6		  0.30		 27.96		 33.22
  33.7		  0.30		 27.96		 33.22
  33.8		  0.31		 27.96		 33.21
  33.9		  0.31		 27.96		 33.21
  34.0		  0.31		 27.96		 33.21
  34.2		  0.31		 27.96		 33.21
  34.3		  0.30		 27.96		 33.22
  34.4		  0.30		 27.96		 33.22
  34.5		  0.29		 27.96		 33.23
  34.6		  0.29		 27.96		 33.23
  34.7		  0.29		 27.96		 33.23
  34.8		  0.29		 27.96		 33.23
  34.9		  0.29		 27.96		 33.23
  35.0		  0.29		 27.96		 33.23
  35.1		  0.28		 27.96		 33.24
  35.3		  0.28		 27.96		 33.24
  35.4		  0.28		 27.96		 33.24
  35.5		  0.28		 27.96		 33.24
  35.6		  0.27		 27.94		 33.23
  35.7		  0.26		 27.94		 33.24
  35.8		  0.26		 27.94		 33.24
  35.9		  0.25		 27.94		 33.26
  36.0		  0.25		 27.93		 33.24
  36.1		  0.25		 27.94		 33.26
  36.2		  0.25		 27.94		 33.26
  36.4		  0.25		 27.94		 33.26
  36.5		  0.25		 27.94		 33.26
  36.6		  0.26		 27.94		 33.24
  36.7		  0.26		 27.94		 33.24
  36.8		  0.26		 27.94		 33.24
  36.9		  0.27		 27.96		 33.25
  37.0		  0.26		 27.96		 33.26
  37.1		  0.27		 27.96		 33.25
  37.2		  0.28		 27.96		 33.24
  37.3		  0.28		 27.96		 33.24
  37.5		  0.28		 27.96		 33.24
  37.6		  0.27		 27.96		 33.25
  37.7		  0.28		 27.96		 33.24
  37.8		  0.28		 27.96		 33.24
  37.9		  0.28		 27.96		 33.24
  38.0		  0.28		 27.97		 33.26
  38.1		  0.28		 27.96		 33.24
  38.2		  0.27		 27.96		 33.25
  38.3		  0.26		 27.96		 33.26
  38.5		  0.25		 27.93		 33.23
  38.6		  0.25		 27.93		 33.23
  38.7		  0.24		 27.93		 33.25
  38.8		  0.24		 27.96		 33.29
  38.9		  0.24		 27.97		 33.31
  39.0		  0.23		 28.02		 33.38
  39.1		  0.23		 28.07		 33.44
  39.2		  0.23		 28.13		 33.52
  39.3		  0.24		 28.19		 33.59
  39.4		  0.24		 28.22		 33.63
  39.6		  0.23		 28.26		 33.70
  39.7		  0.24		 28.33		 33.77
  39.8		  0.24		 28.36		 33.81
  39.9		  0.24		 28.37		 33.83
  40.0		  0.24		 28.40		 33.87
  40.1		  0.24		 28.42		 33.89
  40.2		  0.24		 28.43		 33.91
  40.3		  0.24		 28.43		 33.91
  40.4		  0.24		 28.45		 33.93
  40.5		  0.24		 28.45		 33.93
  40.7		  0.23		 28.45		 33.94
  40.8		  0.23		 28.45		 33.94
  40.9		  0.23		 28.45		 33.94
  41.0		  0.23		 28.46		 33.96
  41.1		  0.23		 28.45		 33.94
  41.2		  0.23		 28.46		 33.96
  41.3		  0.24		 28.46		 33.95
  41.4		  0.23		 28.48		 33.98
  41.5		  0.24		 28.48		 33.97
  41.6		  0.24		 28.48		 33.97
  41.8		  0.23		 28.48		 33.98
  41.9		  0.24		 28.48		 33.97
  42.0		  0.23		 28.48		 33.98
  42.1		  0.24		 28.48		 33.97
  42.2		  0.24		 28.48		 33.97
  42.3		  0.23		 28.48		 33.98
  42.4		  0.24		 28.48		 33.97
  42.5		  0.23		 28.48		 33.98
  42.6		  0.24		 28.48		 33.97
  42.7		  0.23		 28.48		 33.98
  42.9		  0.23		 28.48		 33.98
  43.0		  0.24		 28.48		 33.97
  43.1		  0.23		 28.48		 33.98
  43.2		  0.24		 28.48		 33.97
  43.3		  0.24		 28.49		 33.99
  43.4		  0.24		 28.49		 33.99
  43.5		  0.24		 28.49		 33.99
  43.6		  0.24		 28.49		 33.99
  43.7		  0.24		 28.49		 33.99
  43.9		  0.24		 28.49		 33.99
  44.0		  0.24		 28.49		 33.99
  44.1		  0.24		 28.49		 33.99
  44.2		  0.23		 28.49		 34.00
  44.3		  0.24		 28.49		 33.99
  44.4		  0.24		 28.49		 33.99
  44.5		  0.23		 28.49		 34.00
  44.6		  0.23		 28.49		 34.00
  44.7		  0.23		 28.48		 33.98
  44.8		  0.23		 28.48		 33.98
  45.0		  0.22		 28.46		 33.97
  45.1		  0.22		 28.48		 33.99
  45.2		  0.22		 28.48		 33.99
  45.3		  0.22		 28.48		 33.99
  45.4		  0.22		 28.48		 33.99
  45.5		  0.23		 28.48		 33.98
  45.6		  0.23		 28.49		 34.00
  45.7		  0.23		 28.49		 34.00
  45.8		  0.23		 28.49		 34.00
  45.9		  0.23		 28.48		 33.98
  46.1		  0.23		 28.49		 34.00
  46.2		  0.22		 28.48		 33.99
  46.3		  0.22		 28.48		 33.99
  46.4		  0.22		 28.48		 33.99
  46.5		  0.22		 28.48		 33.99
  46.6		  0.22		 28.48		 33.99
  46.7		  0.21		 28.48		 34.00
  46.8		  0.21		 28.48		 34.00
  46.9		  0.21		 28.48		 34.00
  47.0		  0.22		 28.48		 33.99
  47.2		  0.21		 28.48		 34.00
  47.3		  0.21		 28.48		 34.00
  47.4		  0.21		 28.48		 34.00
  47.5		  0.21		 28.48		 34.00
  47.6		  0.22		 28.49		 34.01
  47.7		  0.22		 28.48		 33.99
  47.8		  0.21		 28.48		 34.00
  47.9		  0.22		 28.48		 33.99
  48.0		  0.22		 28.49		 34.01
  48.1		  0.22		 28.48		 33.99
  48.3		  0.22		 28.49		 34.01
  48.4		  0.22		 28.48		 33.99
  48.5		  0.22		 28.48		 33.99
  48.6		  0.21		 28.48		 34.00
  48.7		  0.22		 28.48		 33.99
  48.8		  0.22		 28.49		 34.01
  48.9		  0.22		 28.49		 34.01
  49.0		  0.22		 28.49		 34.01
  49.1		  0.22		 28.49		 34.01
  49.2		  0.23		 28.49		 34.00
  49.4		  0.23		 28.49		 34.00
  49.5		  0.22		 28.49		 34.01
  49.6		  0.23		 28.49		 34.00
  49.7		  0.22		 28.49		 34.01
  49.8		  0.23		 28.49		 34.00
  49.9		  0.23		 28.49		 34.00
  50.0		  0.23		 28.49		 34.00
  50.1		  0.23		 28.49		 34.00
  50.2		  0.22		 28.49		 34.01
  50.3		  0.23		 28.49		 34.00
  50.5		  0.23		 28.51		 34.02
  50.6		  0.22		 28.49		 34.01
  50.7		  0.23		 28.49		 34.00
  50.8		  0.22		 28.49		 34.01
  50.9		  0.23		 28.49		 34.00
  51.0		  0.23		 28.51		 34.02
  51.1		  0.22		 28.49		 34.01
  51.2		  0.23		 28.49		 34.00
  51.3		  0.22		 28.49		 34.01
  51.4		  0.23		 28.49		 34.00
  51.6		  0.23		 28.51		 34.02
  51.7		  0.22		 28.49		 34.01
  51.8		  0.22		 28.49		 34.01
  51.9		  0.22		 28.49		 34.01
  52.0		  0.22		 28.49		 34.01
  52.1		  0.23		 28.51		 34.02
  52.2		  0.23		 28.51		 34.02
  52.3		  0.23		 28.51		 34.02
  52.4		  0.23		 28.51		 34.02
  52.6		  0.23		 28.51		 34.02
  52.7		  0.23		 28.51		 34.02
  52.8		  0.21		 28.51		 34.04
  52.9		  0.18		 28.46		 34.00
  53.0		  0.15		 28.43		 34.00
  53.1		  0.13		 28.42		 34.00
  53.2		  0.13		 28.42		 34.00
  53.3		  0.14		 28.43		 34.01
  53.4		  0.16		 28.48		 34.05
  53.5		  0.19		 28.49		 34.03
  53.7		  0.22		 28.49		 34.01
  53.8		  0.22		 28.51		 34.03
  53.9		  0.22		 28.51		 34.03
  54.0		  0.22		 28.49		 34.01
  54.1		  0.21		 28.49		 34.02
  54.2		  0.21		 28.49		 34.02
  54.3		  0.19		 28.46		 33.99
  54.4		  0.17		 28.46		 34.01
  54.5		  0.17		 28.46		 34.01
  54.6		  0.18		 28.48		 34.02
  54.8		  0.19		 28.48		 34.01
  54.9		  0.16		 28.45		 34.00
  55.0		  0.13		 28.42		 34.00
  55.1		  0.12		 28.42		 34.01
  55.2		  0.11		 28.42		 34.02
  55.3		  0.12		 28.42		 34.01
  55.4		  0.12		 28.42		 34.01
  55.5		  0.11		 28.42		 34.02
  55.6		  0.12		 28.42		 34.01
  55.7		  0.12		 28.43		 34.03
  55.9		  0.12		 28.43		 34.03
  56.0		  0.13		 28.42		 34.00
  56.1		  0.12		 28.42		 34.01
  56.2		  0.13		 28.43		 34.02
  56.3		  0.12		 28.42		 34.01
  56.4		  0.12		 28.43		 34.03
  56.5		  0.13		 28.45		 34.04
  56.6		  0.13		 28.45		 34.04
  56.7		  0.13		 28.43		 34.02
  56.8		  0.13		 28.43		 34.02
  57.0		  0.13		 28.43		 34.02
  57.1		  0.14		 28.45		 34.03
  57.2		  0.15		 28.46		 34.03
  57.3		  0.15		 28.46		 34.03
  57.4		  0.15		 28.45		 34.01
  57.5		  0.14		 28.43		 34.01
  57.6		  0.14		 28.43		 34.01
  57.7		  0.13		 28.43		 34.02
  57.8		  0.13		 28.43		 34.02
  57.9		  0.13		 28.43		 34.02
  58.1		  0.12		 28.42		 34.01
  58.2		  0.12		 28.43		 34.03
  58.3		  0.13		 28.45		 34.04
  58.4		  0.12		 28.42		 34.01
  58.5		  0.09		 28.39		 34.00
  58.6		  0.07		 28.37		 34.01
  58.7		  0.00		 28.33		 34.02
  58.8		 -0.07		 28.25		 34.00
  58.9		 -0.12		 28.23		 34.03
  59.0		 -0.14		 28.23		 34.05
  59.2		 -0.16		 28.20		 34.03
  59.3		 -0.17		 28.22		 34.07
  59.4		 -0.19		 28.20		 34.07
  59.5		 -0.20		 28.20		 34.08
  59.6		 -0.21		 28.19		 34.07
  59.7		 -0.20		 28.20		 34.08
  59.8		 -0.20		 28.20		 34.08
  59.9		 -0.20		 28.20		 34.08
  60.0		 -0.20		 28.22		 34.10
  60.1		 -0.20		 28.20		 34.08
  60.3		 -0.20		 28.20		 34.08
  60.4		 -0.19		 28.22		 34.09
  60.5		 -0.19		 28.22		 34.09
  60.6		 -0.19		 28.22		 34.09
  60.7		 -0.19		 28.22		 34.09
  60.8		 -0.18		 28.23		 34.10
  60.9		 -0.18		 28.23		 34.10
  61.0		 -0.18		 28.23		 34.10
  61.1		 -0.17		 28.23		 34.09
  61.2		 -0.18		 28.23		 34.10
  61.4		 -0.17		 28.25		 34.11
  61.5		 -0.17		 28.25		 34.11
  61.6		 -0.17		 28.23		 34.09
  61.7		 -0.17		 28.23		 34.09
  61.8		 -0.20		 28.22		 34.10
  61.9		 -0.21		 28.22		 34.11
  62.0		 -0.21		 28.22		 34.11
  62.1		 -0.22		 28.20		 34.10
  62.2		 -0.23		 28.20		 34.12
  62.3		 -0.26		 28.19		 34.12
  62.5		 -0.27		 28.17		 34.11
  62.6		 -0.27		 28.17		 34.11
  62.7		 -0.28		 28.17		 34.12
  62.8		 -0.28		 28.19		 34.14
  62.9		 -0.30		 28.16		 34.13
  63.0		 -0.31		 28.14		 34.12
  63.1		 -0.32		 28.13		 34.11
  63.2		 -0.33		 28.13		 34.12
  63.3		 -0.33		 28.13		 34.12
  63.4		 -0.34		 28.13		 34.13
  63.6		 -0.34		 28.13		 34.13
  63.7		 -0.34		 28.11		 34.11
  63.8		 -0.35		 28.11		 34.13
